title	From Burnout to Balance
slug	burnout-to-balance
client	Lumen Studios
industry	Creative Agency
services	1:1 Coaching, Team Workshops
date	2026-03
duration	3 months
challenge_md	The founding team at Lumen was **running on empty**. Deadlines were slipping, two senior designers were close to quitting, and the founders hadn't taken a real day off in months.\n\nThey didn't need another productivity hack — they needed to change their relationship with work.
approach_md	We ran a three-month engagement combining:\n\n1. **Weekly 1:1 coaching** with the two founders\n2. **Two team workshops** on boundaries and sustainable focus\n3. A simple daily grounding practice the whole team could share\n\nThe goal was steadier energy, not more hustle.
results_md	By month three the team had reclaimed their evenings and rebuilt trust.\n\n- Stress scores dropped sharply on the team pulse survey\n- Focus time tripled with protected deep-work blocks\n- **Nobody quit** — and two people were promoted
metrics	-42%|Reported stress;3x|Weekly focus blocks;100%|Team retention
testimonial_md	> Maya gave our team the language and the space to slow down without losing momentum. It changed how we work.
testimonial_author	Dana R., Creative Director
tags	burnout, leadership, wellbeing
external_url
featured	true
sort_order	1
cover	https://images.unsplash.com/photo-1500648767791-00dcc994a43e
images	https://images.unsplash.com/photo-1500648767791-00dcc994a43e|https://images.unsplash.com/photo-1494790108377-be9c29b29330
